(node:15394) Warning: Accessing non-existent property 'cat' of module exports inside circular dependency
(Use `node --trace-warnings ...` to show where the warning was created)
(node:15394) Warning: Accessing non-existent property 'cd' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'chmod' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'cp' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'dirs' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'pushd' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'popd' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'echo' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'tempdir' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'pwd' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'exec' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'ls' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'find' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'grep' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'head' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'ln' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'mkdir' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'rm' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'mv' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'sed' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'set' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'sort' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'tail' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'test' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'to' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'toEnd' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'touch' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'uniq' of module exports inside circular dependency
(node:15394) Warning: Accessing non-existent property 'which' of module exports inside circular dependency
./loops/0x991f67eeba67ec6775b80ed2b2e0b2f32eb41dc6.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ADDRESS_HARDCODED
patternId: a91b18
severity: 1
line: 63
column: 8
content: _owner=address(0)

ruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 872bdd
severity: 1
line: 189
column: 12
content: whiteList.length--

ruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 872bdd
severity: 1
line: 233
column: 12
content: whiteList.length--

ruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 872bdd
severity: 1
line: 277
column: 12
content: whiteList.length--

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 196
column: 8
content: for(uint256i=0;i<len;i++){if(whiteList[i]==temp)returntrue;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 240
column: 8
content: for(uint256i=0;i<len;i++){if(whiteList[i]==temp)returntrue;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 284
column: 8
content: for(uint256i=0;i<len;i++){if(whiteList[i]==temp)returntrue;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 744
column: 8
content: for(uinti=0;i<size;i++){OptionsInfostorageinfo=_getOptionsById(ids[i]);ownerArr[i]=info.owner;typeAndUnderArr[i]=(info.underlying<<16)+info.optType;expArr[i]=info.expiration;priceArr[i]=info.strikePrice;amountArr[i]=info.amount;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 786
column: 8
content: for(uint256i=0;i<underlyingLen;i++){prices[i]=oracleUnderlyingPrice(underlyingAssets[i]);}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 1195
column: 12
content: for(uint256i=0;i<len;i++){latestNetWorth[i]=optionsLatestNetWorth[whiteList[i]];}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 1219
column: 8
content: for(uint256i=0;i<len;i++){require(latestNetWorth[i]>=-1e40&&latestNetWorth[i]<=1e40,"latestNetWorth calculate error");optionsLatestNetWorth[whiteList[i]]+=latestNetWorth[i];}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 1313
column: 8
content: for(uint256index=0;index<whiteListLen;index++){OptionsFallBalances[index]=OptionsFallBalances[index]/(int256(oraclePrice(whiteList[index])));}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 104
column: 4
content: functionsetManager(addressmanagerAddress)publiconlyOwner{_managerAddress=managerAddress;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 151
column: 4
content: functionsetOracleAddress(addressoracle)publiconlyOwner{_oracle=IFNXOracle(oracle);}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 359
column: 4
content: functionsetVolatilityAddress(addressvolatility)publiconlyOwner{_volatility=IVolatility(volatility);}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 380
column: 4
content: functionsetOptionsPriceAddress(addressoptionsPrice)publiconlyOwner{_optionsPrice=IOptionsPrice(optionsPrice);}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 426
column: 4
content: functionsetOperator(uint256index,addressaddAddress)publiconlyOwner{_operatorList[index]=addAddress;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 447
column: 4
content: functionsetOperators(address[]memoryoperators)publiconlyOwner{_operatorList=operators;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 503
column: 4
content: functionsetInputAmountRange(uint256_minAmount,uint256_maxAmount)publiconlyOwner{minAmount=_minAmount;maxAmount=_maxAmount;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 527
column: 4
content: functionsetTimeLimitation(uint256_limitation)publiconlyOwner{limitation=_limitation;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 8
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 8
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 87
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 87
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 122
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 122
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 159
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 159
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 304
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 304
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 349
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 349
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 367
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 367
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 388
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 388
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 455
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 455
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 512
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 512
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 552
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 552
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 626
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 626
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 655
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 655
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1015
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1015
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1180
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1180
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1404
