(node:27824) Warning: Accessing non-existent property 'cat' of module exports inside circular dependency
(Use `node --trace-warnings ...` to show where the warning was created)
(node:27824) Warning: Accessing non-existent property 'cd' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'chmod' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'cp' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'dirs' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'pushd' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'popd' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'echo' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'tempdir' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'pwd' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'exec' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'ls' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'find' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'grep' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'head' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'ln' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'mkdir' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'rm' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'mv' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'sed' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'set' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'sort' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'tail' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'test' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'to' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'toEnd' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'touch' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'uniq' of module exports inside circular dependency
(node:27824) Warning: Accessing non-existent property 'which' of module exports inside circular dependency
./loops/0xAaBc605bd6751E6D38e5685c2c040E63F74fCAb4.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 158
column: 8
content: for(uinti=0;i<range;i++){originalFactories[_oldFactories[i]]=true;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 185
column: 4
content: functionsetOperatorAddr(address_operatorAddr)external{require(msg.sender==operatorAddr,'MoonSwap: FORBIDDEN');operatorAddr=_operatorAddr;}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 191
column: 4
content: functionsetOriginalFactory(address_factory,bool_status)external{require(msg.sender==operatorAddr,'MoonSwap: FORBIDDEN');originalFactories[_factory]=_status;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 8
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 8
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 46
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 46
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 67
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 67
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 105
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 105
column: 22
content: <

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 129
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 129
column: 22
content: <

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 83hf3l
severity: 1
line: 35
column: 49
content: (uint112reserve0,uint112reserve1,uint32blockTimestampLast)

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 83hf3l
severity: 1
line: 38
column: 47
content: (uintamount0,uintamount1)

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 83hf3l
severity: 1
line: 94
column: 49
content: (uint112reserve0,uint112reserve1,uint32blockTimestampLast)

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 83hf3l
severity: 1
line: 97
column: 47
content: (uintamount0,uintamount1)

SOLIDITY_OVERPOWERED_ROLE :2
SOLIDITY_PRAGMAS_VERSION :10
SOLIDITY_GAS_LIMIT_IN_LOOPS :1
SOLIDITY_SHOULD_RETURN_STRUCT :4

---------------------------------------------
For contract 0xAaBc605bd6751E6D38e5685c2c040E63F74fCAb4.sol
Tool Runtime = 1.6117598149976402 seconds
#############################################
